Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-02-03,19.940001,20.24,19.700001,19.74,18.949032,1160500,472
2021-02-04,19.99,20.35,19.85,20.120001,19.31381,1231700,473
2021-02-05,20.35,20.48,19.85,19.99,19.189014,1614400,474
2021-02-08,19.969999,20.129999,19.450001,19.450001,18.670654,1454200,475
2021-02-09,19.49,20.57,19.440001,20.49,19.709513,2013000,476
2021-02-10,20.5,21.1,20.462,21.030001,20.228949,1559200,477
2021-02-11,21.030001,21.389999,20.82,20.92,20.123137,1077000,478
2021-02-12,20.700001,21.059999,20.485001,20.91,20.113516,740800,479
2021-02-16,20.99,21.895,20.940001,21.860001,21.027328,1986400,480
2021-02-17,21.709999,22.18,21.49,21.969999,21.133137,1918100,481
2021-02-18,21.82,21.950001,21.450001,21.889999,21.056185,774000,482
2021-02-19,21.98,23.459999,21.934999,23.049999,22.172001,2027300,483
2021-02-22,22.870001,24.01,22.75,23.57,22.672194,1076800,484
2021-02-23,23.469999,23.49,22.219999,23.07,22.19124,805100,485
2021-02-24,23.040001,23.49,22.93,23.290001,22.402863,653200,486
2021-02-25,23.129999,23.862,22.997999,23.309999,22.422096,748400,487
2021-02-26,23.290001,23.49,22.68,23.26,22.374004,947600,488
2021-03-01,23.450001,24.049999,23.34,23.58,22.681814,1721100,489
2021-03-02,23.5,23.950001,23.450001,23.9,22.989624,733800,490
2021-03-03,24,24.25,23.76,24.120001,23.201244,1773300,491
2021-03-04,23.9,24.190001,23.379999,23.91,22.999243,1471700,492
2021-03-05,24.059999,24.17,23.66,24.07,23.153149,3015900,493
2021-03-08,24.620001,24.93,24.360001,24.780001,23.836107,1686300,494
2021-03-09,24.6,25.1,24.32,24.790001,23.845726,1266400,495
2021-03-10,24.77,24.85,24.190001,24.629999,23.691814,1083500,496
2021-03-11,24.709999,24.84,23.959999,24.48,23.547527,1548900,497
2021-03-12,24.51,25.25,24.5,25.139999,24.182392,1248700,498
2021-03-15,25.16,25.780001,25.139999,25.709999,24.730682,1492600,499
2021-03-16,25.48,25.48,24.75,25,24.047724,1414300,500
2021-03-17,24.92,25.110001,24.58,25.07,24.115057,1359700,501
2021-03-18,25.24,25.290001,24.82,24.99,24.038105,1772900,502
2021-03-19,24.84,25.219999,24.66,25.01,24.057341,2112000,503
